отчёт анализа bdf-шрифта
шрифт: -xos4-Terminus-Bold-R-Normal--16-160-72-72-C-80-ISO10646-1
глифов: 891
аномалий: 606
предложений замены: 606


описание метрик:
readability  — читаемость глифа, допустимо: 0.400 <= value <= 1.0
proportion   — отношение ширины bitmap к высоте, используется как справочная метрика
density      — доля закрашенных пикселей, допустимо: 0.050 <= value <= 0.850
distinctness — различимость относительно ближайших отличающихся глифов, допустимо: 0.050 <= value <= 1.0


метрики глифов:
glyph                | code  | readability | proportion | density | distinctness
uni0302              | 770   | 0.436       | 0.500      | 0.055   | 0.023       
tildecomb            | 771   | 0.472       | 0.500      | 0.078   | 0.031       
uni0306              | 774   | 0.436       | 0.500      | 0.055   | 0.023       
uni030C              | 780   | 0.436       | 0.500      | 0.055   | 0.023       
uni0329              | 809   | 0.396       | 0.500      | 0.031   | 0.031       
tonos                | 900   | 0.400       | 0.500      | 0.031   | 0.031       
dieresistonos        | 901   | 0.287       | 0.500      | 0.062   | 0.031       
Alphatonos           | 902   | 0.899       | 0.500      | 0.375   | 0.031       
anoteleia            | 903   | 0.396       | 0.500      | 0.031   | 0.031       
Epsilontonos         | 904   | 0.793       | 0.500      | 0.273   | 0.047       
Etatonos             | 905   | 0.881       | 0.500      | 0.336   | 0.039       
Iotatonos            | 906   | 0.744       | 0.500      | 0.219   | 0.047       
Omicrontonos         | 908   | 0.919       | 0.500      | 0.359   | 0.031       
Upsilontonos         | 910   | 0.778       | 0.500      | 0.250   | 0.047       
Omegatonos           | 911   | 0.909       | 0.500      | 0.367   | 0.031       
iotadieresistonos    | 912   | 0.594       | 0.500      | 0.219   | 0.031       
Alpha                | 913   | 0.901       | 0.500      | 0.344   | 0.031       
Beta                 | 914   | 0.897       | 0.500      | 0.359   | 0.023       
Gamma                | 915   | 0.710       | 0.500      | 0.195   | 0.023       
Delta                | 916   | 0.877       | 0.500      | 0.312   | 0.031       
Epsilon              | 917   | 0.791       | 0.500      | 0.258   | 0.031       
